"PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1","P2","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P3_11","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P4_9","P4_10","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","TIPO","FAC_MOD"
"1021","4","12A203","15","40293","1","1","0","01",9,9,9,9,7,10,10,10,10,10,0,9,0,9,6,8,10,9,0,3,1,0,0,9,8,9,10,10,8,2,10,8,8,5,8,1,13088
"1021","8","12A197","15","40298","1","1","1","01",10,10,10,10,10,10,10,10,10,10,8,9,5,9,7,7,9,9,0,3,3,0,0,9,9,9,9,9,9,5,9,9,9,5,7,1,10006
"1021","8","12A197","15","40298","4","1","0","01",7,9,7,7,7,9,7,7,7,7,7,7,7,9,5,5,9,9,0,5,5,0,0,7,7,5,5,7,7,0,7,6,6,6,6,1,20013
"1021","8","12A197","15","40298","3","1","0","02",8,8,10,9,9,7,8,9,8,8,7,9,6,8,7,6,6,7,2,3,4,4,0,8,9,9,9,8,7,6,8,7,6,6,5,1,20013
"1021","8","12A197","15","40298","2","1","0","02",9,9,9,9,9,9,9,9,9,9,9,9,0,8,5,5,7,7,0,5,5,0,0,9,9,9,7,7,7,5,9,7,7,8,7,1,30019
"1021","8","11A197","15","40299","4","1","0","04",6,6,7,9,9,9,8,5,9,8,7,8,5,9,8,9,9,8,1,1,1,1,1,9,9,8,8,9,4,3,8,7,9,6,6,1,32744
"1021","8","11A197","15","40299","1","1","0","03",8,6,4,8,8,9,8,8,10,10,5,8,2,8,8,10,8,10,2,0,0,1,0,10,8,8,6,8,5,3,10,10,10,8,8,1,24558
"1021","8","11A197","15","40299","2","1","0","01",9,7,10,10,10,10,10,10,9,10,10,8,2,5,1,5,5,3,0,8,5,5,0,9,5,9,9,9,8,3,10,8,8,3,5,1,8186
"1021","5","11B192","15","40306","3","1","0","02",10,10,9,10,10,10,8,10,10,10,9,8,5,9,8,7,10,8,0,2,2,0,1,9,8,9,8,8,9,8,10,10,9,8,8,1,15312
"1021","5","11B192","15","40306","4","1","0","01",10,10,10,10,10,9,8,10,10,10,8,8,5,8,9,10,10,9,2,0,0,0,0,8,9,7,9,8,9,7,9,9,8,7,7,1,7656
"1021","5","11B192","15","40306","2","1","0","02",9,9,10,10,10,10,8,10,10,9,10,8,5,8,8,8,10,8,1,2,1,0,2,9,9,8,10,8,8,8,10,10,8,8,8,1,30625
"1021","5","11B192","15","40306","1","1","0","02",10,10,10,10,10,10,10,10,10,10,10,8,10,10,5,5,9,6,0,5,4,0,3,8,7,10,8,10,6,10,8,7,8,8,8,1,22968
"1021","4","11A203","15","40322","4","1","0","02",10,9,10,10,10,9,10,10,10,10,10,8,8,8,7,7,9,9,0,3,3,1,0,9,7,9,10,8,9,5,10,10,8,7,5,1,18174
